mass_A
t	x
2.794458333E1	-2.027676964E1
2.796126667E1	-3.534671744E1
2.797795000E1	-4.620882757E1
2.799463333E1	-5.216708766E1
2.801131667E1	-5.235993090E1
2.802800000E1	-4.713897451E1
2.804468333E1	-3.692734326E1
2.806136667E1	-2.237186926E1
2.807805000E1	-5.386580379E0
2.809473333E1	1.212058002E1
2.811141667E1	2.813216273E1
2.812810000E1	4.085084601E1
2.814478333E1	4.889570972E1
2.816146667E1	5.107828495E1
2.817815000E1	4.744004063E1
2.819483333E1	3.799589477E1
2.821151667E1	2.423874566E1
2.822820000E1	7.716710764E0
2.824488333E1	-9.565153981E0
2.826156667E1	-2.601887504E1
2.827825000E1	-3.959852323E1
2.829493333E1	-4.882184721E1
2.831161667E1	-5.260391917E1
2.832830000E1	-5.081432552E1
2.834498333E1	-4.327429427E1
2.836166667E1	-3.113842515E1
2.837835000E1	-1.543035842E1
2.839503333E1	1.901766897E0
2.841171667E1	1.888044102E1
2.842840000E1	3.348761706E1
2.844508333E1	4.399283748E1
2.846176667E1	4.980483111E1
2.847845000E1	4.965685165E1
2.849513333E1	4.365190195E1
2.851181667E1	3.247115276E1
2.852850000E1	1.734756324E1
2.854518333E1	1.958886657E-1
2.856186667E1	-1.691942720E1
2.857855000E1	-3.220829601E1
2.859523333E1	-4.393328386E1
2.861191667E1	-5.084542531E1
2.862860000E1	-5.208051734E1
2.864528333E1	-4.800922245E1
2.866196667E1	-3.856420629E1
2.867865000E1	-2.496143154E1
2.869533333E1	-8.828542112E0
2.871201667E1	8.383433183E0
2.872870000E1	2.433296488E1
2.874538333E1	3.745907732E1
2.876206667E1	4.594497114E1
2.877875000E1	4.910126247E1
2.879543333E1	4.618445662E1
2.881211667E1	3.804331977E1
2.882880000E1	2.512577439E1
2.884548333E1	9.142666276E0
2.886216667E1	-7.925522771E0
2.887885000E1	-2.424734215E1
2.889553333E1	-3.813899794E1
2.891221667E1	-4.791494429E1
2.892890000E1	-5.255211635E1
2.894558333E1	-5.174318617E1
2.896226667E1	-4.517050733E1
2.897895000E1	-3.396802177E1
2.899563333E1	-1.903868236E1
2.901231667E1	-2.152645185E0
2.902900000E1	1.481596466E1
2.904568333E1	2.975292162E1
2.906236667E1	4.123731264E1
2.907905000E1	4.750182159E1
2.909573333E1	4.859291319E1
2.911241667E1	4.363078069E1
2.912910000E1	3.337230153E1
2.914578333E1	1.908236809E1
2.916246667E1	2.534011215E0
2.917915000E1	-1.432341044E1
2.919583333E1	-2.965989252E1
2.921251667E1	-4.193963769E1
2.922920000E1	-4.969563519E1
2.924588333E1	-5.197501972E1
2.926256667E1	-4.887303649E1
2.927925000E1	-4.011577839E1
2.929593333E1	-2.715237067E1
2.931261667E1	-1.131382445E1
2.932930000E1	5.694039894E0
2.934598333E1	2.187676798E1
2.936266667E1	3.546044031E1
2.937935000E1	4.463178908E1
2.939603333E1	4.888625374E1
2.941271667E1	4.709306964E1
2.942940000E1	3.985932608E1
