mass_A
t	x
9.225883333E1	5.458626280E0
9.229220000E1	1.338835295E1
9.232556667E1	2.640029691E1
9.235893333E1	3.957817891E1
9.239230000E1	4.686007669E1
9.242566667E1	4.490701126E1
9.245903333E1	3.450988597E1
9.249240000E1	2.062244737E1
9.252576667E1	8.795992536E0
9.255913333E1	4.595770220E0
9.259250000E1	1.034515451E1
9.262586667E1	2.269379695E1
9.265923333E1	3.631570961E1
9.269260000E1	4.547856129E1
9.272596667E1	4.591428873E1
9.275933333E1	3.742194704E1
9.279270000E1	2.442485757E1
9.282606667E1	1.136056467E1
9.285943333E1	4.884917208E0
9.289280000E1	7.736870352E0
9.292616667E1	1.840692989E1
9.295953333E1	3.252192241E1
9.299290000E1	4.351660454E1
9.302626667E1	4.649854850E1
9.305963333E1	4.038434386E1
9.309300000E1	2.746005069E1
9.312636667E1	1.352007655E1
9.315973333E1	5.589608001E0
9.319310000E1	6.373676320E0
9.322646667E1	1.555385723E1
9.325983333E1	2.953885297E1
9.329320000E1	4.138547393E1
9.332656667E1	4.653127067E1
9.335993333E1	4.252869310E1
9.339330000E1	3.149469129E1
9.342666667E1	1.744772341E1
9.346003333E1	7.141484718E0
9.349340000E1	5.369128295E0
9.352676667E1	1.253431845E1
9.356013333E1	2.546917175E1
9.359350000E1	3.862164478E1
9.362686667E1	4.631609889E1
9.366023333E1	4.451312955E1
9.369360000E1	3.453960914E1
9.372696667E1	2.052676847E1
9.376033333E1	9.304260908E0
9.379370000E1	4.872315119E0
9.382706667E1	9.899837323E0
9.386043333E1	2.152127662E1
9.389380000E1	3.544040878E1
9.392716667E1	4.463078519E1
9.396053333E1	4.550462441E1
9.399390000E1	3.746145453E1
9.402726667E1	2.447482192E1
9.406063333E1	1.147139868E1
9.409400000E1	4.702972223E0
9.412736667E1	7.526417340E0
9.416073333E1	1.844094378E1
9.419410000E1	3.243676059E1
9.422746667E1	4.343829732E1
9.426083333E1	4.651859058E1
9.429420000E1	4.052995837E1
9.432756667E1	2.795745896E1
9.436093333E1	1.431817338E1
9.439430000E1	5.536192951E0
9.442766667E1	6.477889969E0
9.446103333E1	1.553139299E1
9.449440000E1	2.854882267E1
9.452776667E1	4.078444308E1
9.456113333E1	4.638327523E1
9.459450000E1	4.254065557E1
9.462786667E1	3.142393799E1
9.466123333E1	1.747669535E1
9.469460000E1	7.516717595E0
9.472796667E1	5.485414725E0
9.476133333E1	1.249200754E1
9.479470000E1	2.549213454E1
9.482806667E1	3.821589782E1
9.486143333E1	4.556877731E1
9.489480000E1	4.441981524E1
9.492816667E1	3.456836689E1
9.496153333E1	2.146831941E1
